Feature_Removed,RMSE,RMSE_Change
Lagged_Mkt-RF,418.25606552981435,79.27240010117674
Price_to_MA20,377.6353453629444,38.6516799343068
Lag3_Return,358.37647210885063,19.392806680213027
Volatility_10,347.24948323488655,8.265817806248947
Month_Sin,346.67192105572065,7.688255627083038
RollingMean_5,342.80580197803306,3.822136549395452
Day_Sin,342.57318873203474,3.5895233033971294
Momentum_10,342.46537429885103,3.4817088702134242
RollingStd_5,340.30941508251493,1.325749653877324
Lag1_Return,340.22448222320725,1.2408167945696391
Lagged_CMA,339.93669967289566,0.9530342442580491
Lagged_Volume,339.6809421507362,0.6972767220985929
Price_Change_5,338.854830746468,-0.12883468216961091
Lagged_Return,338.3765966023608,-0.6070688262768158
Lagged_RMW,337.16092100702485,-1.8227444216127537
Lagged_SMB,337.0036700473286,-1.9799953813089815
Month_Cos,335.68015330405325,-3.3035121245843584
Day_Cos,334.0832625742651,-4.900402854372487
Lagged_HML,329.98416706051256,-8.999498368125046
Lag2_Return,319.9895731333245,-18.994092295313123
